M2SL,Corporate Bonds
13806.1,3.57
13858.7,3.51
13876.1,3.55
13918.7,3.82
13975.1,3.87
14005.5,3.85
14070.6,4.0
14130.3,3.96
14159.4,3.87
14201.8,3.88
14232.4,3.98
14239.7,4.14
14258.3,4.22
14377.2,4.02
14446.8,3.93
14489.8,3.79
14536.7,3.77
14572.7,3.69
14672.5,3.67
14791.2,3.42
14862.1,3.29
14938.8,2.98
15030.1,3.03
15156.7,3.01
15254.4,3.06
15329.1,3.01
15410.0,2.94
15473.4,2.78
16014.3,3.02
17042.9,2.43
17893.0,2.5
18179.6,2.44
18320.0,2.14
18381.8,2.25
18605.0,2.31
18751.1,2.35
18960.2,2.3
19131.4,2.26
19396.5,2.45
19667.9,2.7
19914.0,3.04
20119.9,2.9
20371.9,2.96
20388.9,2.79
