M2 Z Score,Bond Z Score
-0.8881078366575835,-0.2717828144648385
-0.8874451826511079,-0.29781280162078555
-0.8868267055783974,-0.2940942320270786
-0.8862744939063344,-0.25690853609001163
-0.8855676629660936,-0.23459711852777154
-0.8847503896914404,-0.2308785489340646
-0.8840877356849648,-0.24575282730889142
-0.8832483739434289,-0.32756135837043926
-0.882320658334363,-0.3461542063389727
-0.8814371196590622,-0.3015313712144922
-0.8803768732487012,-0.2643456752774249
-0.8794049807058703,-0.16766286584105058
-0.8788527690338072,-0.11560289152915679
-0.8782784688948616,-0.08957290437320974
-0.8777262572227986,-0.018920082092782467
-0.877439107153326,-0.0040458037179556235
-0.8772623994182657,-0.04123149965502257
-0.8768206300806153,0.029421322625405026
-0.8765997454117901,0.06660701856247198
-0.8764672146104949,0.025702753031698066
-0.8760254452728445,0.08891843612471208
-0.8757382952033718,0.15957125840513967
-0.8752965258657213,0.16700839759255293
-0.8747443141936583,0.30459547255970115
-0.8743688102566555,0.3752482948401287
-0.8750977296637786,0.382685434027542
-0.8748768449949534,0.34921830768418166
-0.8746338718592457,0.3454997380904751
-0.8739491293858875,0.4496196867142626
-0.8731318561112343,0.5872067616814112
-0.872270405902816,0.572332483306584
-0.8709892748236298,0.45705682590167657
-0.8695977014100309,0.4421825475268494
-0.8684491011321398,0.41987112996460896
-0.8674109431886613,0.42730826915202286
-0.8662181659770052,0.27484691581004744
-0.8648045040965238,0.17072696718625988
-0.8630153382790396,0.06660701856247198
-0.8610494647264952,0.11494842328065913
-0.8591719450414809,0.12982270165548598
-0.8573386022902317,0.23394265027927388
-0.8559470288766329,0.27484691581004744
-0.8544891900623864,0.27484691581004744
-0.8531859705163177,0.256254067841514
-0.8516397778345413,0.20047552393591356
-0.8503365582884724,0.18188267596737975
-0.8489670733417563,0.1335412712491926
-0.8477080307294524,0.12982270165548598
-0.8460734841801459,0.10751128409324588
-0.8443064068295443,0.13725984084289924
-0.8425835064127076,0.12610413206177934
-0.841501171535464,0.14841554962401945
-0.8404188366582205,0.14841554962401945
-0.8390051747777392,0.12238556246807272
-0.8368405050232521,0.11494842328065913
-0.8348083660700603,0.10751128409324588
-0.8326878732493381,0.11866699287436576
-0.8307882650974413,0.11494842328065913
-0.8292420724156648,0.08148129693729882
-0.827386641197533,0.06660701856247198
-0.8256195638469314,0.09263700571841903
-0.8247802021053956,0.11866699287436576
-0.8245151405028053,0.1446969800303128
-0.8235432479599745,0.1335412712491926
-0.8219749668113154,0.1446969800303128
-0.8205392164639516,0.17444553677996652
-0.8198323855237108,0.2041940935296202
-0.8193243507854129,0.2897211941848743
-0.8192139084510003,0.27112834621634085
-0.8184849890438771,0.25997263743522064
-0.8170934156302783,0.28600262459116765
-0.8156355768160318,0.2897211941848743
-0.814707861206966,0.3454997380904751
-0.8137138801972525,0.3529368772778883
-0.8124106606511838,0.41243399077719567
-0.8117921835784732,0.5016796610261568
-0.8114166796414704,0.546302496150637
-0.8107098487012296,0.5834881920877045
-0.8099146638934589,0.6764524319303723
-0.8093182752876309,0.7805723805541599
-0.808478913546095,0.8698180508031209
-0.8072861363344389,0.8809737595842408
-0.8061154475896654,0.7396681150233863
-0.8053423512487771,0.7396681150233863
-0.8044146356397112,0.7173566974611458
-0.8026917352228745,0.6392667359933046
-0.8002840923326797,0.6578595839618384
-0.7980531571775451,0.761979532585626
-0.7952258334165824,0.7433866846170929
-0.7918904749173217,0.6950452798989054
-0.7892177704245367,0.7210752670548525
-0.787450693073935,0.761979532585626
-0.7855952618558032,0.761979532585626
-0.7842036884422043,0.7285124062422658
-0.7821936379558949,0.698763849492612
-0.7801394105358205,0.7024824190863187
-0.7778422099800383,0.6318295968058913
-0.7748160900171328,0.6132367488373582
-0.7726735087295283,0.6020810400562377
-0.770287954306216,0.5574582049317575
-0.7677919575484912,0.6243924576184782
-0.7665770918699526,0.6392667359933046
-0.7646553952511732,0.6169553184310649
-0.7619164253577406,0.5760510529002907
-0.7592437208649555,0.5500210657443443
-0.7561071585676375,0.5277096481821039
-0.7531914809391448,0.5016796610261568
-0.7501432725093569,0.4012782819960758
-0.7472275948808641,0.3938411428086622
-0.7444886249874315,0.4235896995583156
-0.7420809820972366,0.445901117120556
-0.7396291622732768,0.4235896995583156
-0.7375528463863198,0.42730826915202286
-0.735609061300658,0.3901225732149556
-0.7336431877481137,0.38640400362124894
-0.7313680756592139,0.4012782819960758
-0.729335936706022,0.37896686443383537
-0.7276130362891853,0.4235896995583156
-0.7257576050710536,0.43846397793314273
-0.7240126161873344,0.4793682434639163
-0.7219363003003775,0.5611767745254641
-0.7206551692211912,0.5834881920877045
-0.7191752419400623,0.5834881920877045
-0.7173639876556955,0.6169553184310649
-0.7151330525005609,0.6652967231492517
-0.7133659751499593,0.6913267103051988
-0.712129021004538,0.7359495454296796
-0.710052705117581,0.6652967231492517
-0.7075125314260912,0.6652967231492517
-0.705900073343667,0.7396681150233863
-0.7043980575956557,0.7917280893352797
-0.7028739533807618,0.8400694940534672
-0.7016369992353405,0.8735366203968276
-0.7002675142886242,0.8772551899905342
-0.698058667600372,0.9181594555213077
-0.6949000168361716,0.921878025115015
-0.6931108510186874,0.9665008602394952
-0.6902835272577247,0.888410898771654
-0.6876770881655871,0.8549437724282938
-0.6850706490734497,0.8660994812094143
-0.6834140140572607,0.9441894426772548
-0.6820224406436618,1.200770744643018
-0.6808075749651231,1.4350406290465403
