date,Money_supply,year,quarter,month
2017-05-01,13544.0,2017,2,5
2017-06-01,13571.3,2017,2,6
2017-07-01,13628.1,2017,3,7
2017-08-01,13677.1,2017,3,8
2017-09-01,13718.7,2017,3,9
2017-10-01,13771.7,2017,4,10
2017-11-01,13806.1,2017,4,11
2017-12-01,13858.7,2017,4,12
2018-01-01,13876.1,2018,1,1
2018-02-01,13918.7,2018,1,2
2018-03-01,13975.1,2018,1,3
2018-04-01,14005.5,2018,2,4
2018-05-01,14070.6,2018,2,5
2018-06-01,14130.3,2018,2,6
2018-07-01,14159.4,2018,3,7
2018-08-01,14201.8,2018,3,8
2018-09-01,14232.4,2018,3,9
2018-10-01,14239.7,2018,4,10
2018-11-01,14258.3,2018,4,11
2018-12-01,14377.2,2018,4,12
2019-01-01,14446.8,2019,1,1
2019-02-01,14489.8,2019,1,2
2019-03-01,14536.7,2019,1,3
2019-04-01,14572.7,2019,2,4
2019-05-01,14672.5,2019,2,5
2019-06-01,14791.2,2019,2,6
2019-07-01,14862.1,2019,3,7
2019-08-01,14938.8,2019,3,8
2019-09-01,15030.1,2019,3,9
2019-10-01,15156.7,2019,4,10
2019-11-01,15254.4,2019,4,11
2019-12-01,15329.1,2019,4,12
2020-01-01,15410.0,2020,1,1
2020-02-01,15473.4,2020,1,2
2020-03-01,16014.3,2020,1,3
2020-04-01,17042.9,2020,2,4
2020-05-01,17893.0,2020,2,5
2020-06-01,18179.6,2020,2,6
2020-07-01,18320.0,2020,3,7
2020-08-01,18381.8,2020,3,8
2020-09-01,18605.0,2020,3,9
2020-10-01,18751.1,2020,4,10
2020-11-01,18960.2,2020,4,11
2020-12-01,19131.4,2020,4,12
2021-01-01,19396.5,2021,1,1
2021-02-01,19667.9,2021,1,2
2021-03-01,19914.0,2021,1,3
2021-04-01,20119.9,2021,2,4
2021-05-01,20371.9,2021,2,5
