date,rolling_z_Money_supply,rolling_z_top_tier_home_value,rolling_z_mid_tier_home_value,rolling_z_bottom_tier_home_value,rolling_z_single_family_home_value,rolling_z_condo_coop_value
2002-09-01,1.622306283547793,1.5856764227604228,1.6361219522803583,1.6549358704289683,1.634963977108641,1.5840532562101028
2002-10-01,1.6494817863354794,1.6071666226087828,1.6535547348204622,1.6665348454429678,1.6542677315739243,1.6020323885847114
2002-11-01,1.6877949365759222,1.6338549636931277,1.6768639133670138,1.6848289316450638,1.6803140909724745,1.620251457577635
2002-12-01,1.6471542454494956,1.6600521583878969,1.6981576885445875,1.702806153892675,1.7041113334195057,1.638307212821431
2003-01-01,1.6390396908917393,1.6851984550218242,1.718148044348915,1.7213510778821055,1.725760801732351,1.6592196720763146
2003-02-01,1.6426432513083058,1.7059255344575215,1.733365007564235,1.7354935643005394,1.741860943721931,1.6810597237979954
2003-03-01,1.6064445468648478,1.7222933606950805,1.7451257873103183,1.743290382181366,1.7543516233918537,1.7006685181132442
2003-04-01,1.6121993183159569,1.732198204474118,1.752787185408321,1.749104648110712,1.7627484292872684,1.7142916054684239
2003-05-01,1.6795724659562004,1.741223630946499,1.7611255259463683,1.75762072358448,1.7718110692244362,1.7308273677292207
2003-06-01,1.6820218956242368,1.7470148586766816,1.7671290442330028,1.7660216482300373,1.777885834579556,1.7523681275644443
2003-07-01,1.7108370735224463,1.7533936916682935,1.774146763936898,1.7750477210111362,1.7847108179684437,1.7738423026905135
2003-08-01,1.7647156169982905,1.766064248232328,1.7858913698459105,1.7890165546103063,1.7968568414921255,1.7870130935728818
2003-09-01,1.6001904183536697,1.7855499288104377,1.8032055579195272,1.8089197243836541,1.8145879980862987,1.7914273915320102
2003-10-01,1.5006708037956118,1.809598672114287,1.8228536323517235,1.8316517224123985,1.8344842112826403,1.796174965439162
2003-11-01,1.4497679046295,1.825351720967369,1.8332909402732631,1.843044595893694,1.843960204832236,1.802205843702004
2003-12-01,1.3839307579042497,1.836633423938988,1.8399496853471207,1.8501704233701528,1.8491198418365855,1.8103652471467035
2004-01-01,1.349431681246805,1.8506683512082696,1.8489719710229213,1.8569320443016195,1.857293532546006,1.824848059517497
2004-02-01,1.403154598294669,1.8702499860245867,1.8651217584414401,1.8711974360608168,1.8727700929816433,1.8434508934214304
2004-03-01,1.44443145958761,1.88950423586981,1.8824973361356194,1.887297289995631,1.889735737754979,1.8574233979449992
2004-04-01,1.4957865410262199,1.9030151036888892,1.8950960384689535,1.899363353439479,1.9014858485081616,1.8683946261107267
2004-05-01,1.6518825995456716,1.923651954684573,1.9145245992315054,1.9177593201938092,1.920593165115485,1.8793432339471088
2004-06-01,1.581656555043001,1.9506808711657806,1.9392842462476536,1.9415791802246674,1.9454785179078502,1.896042590793153
2004-07-01,1.5521533618233398,1.9763336143099268,1.9621210560782032,1.9639977518809766,1.9683850056574488,1.9079264125261923
2004-08-01,1.563356857541041,1.982311500984042,1.966473834796495,1.9672997236743688,1.9721546728645836,1.9089173416618184
2004-09-01,1.587239020916916,1.9765761338781593,1.960268660413422,1.960696111370797,1.964607534539869,1.9105743839856437
2004-10-01,1.5963513860356302,1.9673043308529352,1.9528709952019092,1.9527334782799617,1.9559119770956546,1.9130009475790304
2004-11-01,1.5980375564887577,1.9610744106359996,1.9492428266155388,1.9500877570733757,1.9514888913083006,1.9148014547668393
2004-12-01,1.5720513862047731,1.955322752673798,1.946740467521833,1.9488907059875973,1.9484673305565274,1.9105983080304971
2005-01-01,1.5126254303383824,1.9429256566721114,1.9376923538981887,1.94389260508202,1.9385257060829888,1.8986155421380209
2005-02-01,1.4651982544131372,1.9321880393293362,1.9296338270870708,1.938683970651746,1.9304210760568785,1.8828127240973456
2005-03-01,1.4264847106661414,1.825171819067117,1.8467838870115094,1.8767994307454137,1.8471020352250453,1.7646932844633922
2005-04-01,1.4130909755920995,1.8328969868692817,1.8506213883611176,1.8775425821030338,1.8517969862263883,1.7748279277647525
2005-05-01,1.4141959710357765,1.8346493619935054,1.8482604850981892,1.8731386666990877,1.8492520003895208,1.7831811417637164
2005-06-01,1.4697223862953053,1.832593256919569,1.8444548396309632,1.8678229606506331,1.8455153557562989,1.7847718660368799
2005-07-01,1.520444515685597,1.8292932125742347,1.8402252685319742,1.8616569396723914,1.8413024308555386,1.7904153112077577
2005-08-01,1.5719486506420162,1.8285533356054735,1.8393786680926223,1.8597753014724268,1.8408681519127046,1.802636226812574
2005-09-01,1.628764719670653,1.831622641414552,1.841326863499493,1.858350658792691,1.8430887764821102,1.8180745449483307
2005-10-01,1.6792256629471787,1.8250390177065472,1.8329887418186637,1.8491957723053478,1.8351481439344948,1.8227671708898177
2005-11-01,1.6586013534351465,1.8090592955147462,1.8157602178055905,1.8319226116442644,1.8180980247660445,1.8136854832438676
2005-12-01,1.6791782188652074,1.7850601084200655,1.7903343027482481,1.8070406031178174,1.7929868846472519,1.797743430925359
2006-01-01,1.7536178252239678,1.7550345224515869,1.7603558122708143,1.7759330306756873,1.763160038216849,1.7751921228400138
2006-02-01,1.753439692657685,1.721437249719992,1.7268834329080762,1.741969979476298,1.7291582565511996,1.752455844882215
2006-03-01,1.7194933746336254,1.68747324121504,1.6949695498819015,1.711500548624006,1.6964977272359685,1.7254511902417957
2006-04-01,1.7690294625399812,1.6531762635814025,1.6622232752160757,1.6811818266617546,1.6630023076243114,1.6951424409286138
2006-05-01,1.6948010051411881,1.6133866025204626,1.6251473365012121,1.6461305591256208,1.6256564437000582,1.6599698479911371
2006-06-01,1.7375207644777584,1.5699738064450959,1.5830952979728077,1.6055377060531268,1.5826543519376362,1.6223279864597302
2006-07-01,1.7796271275682396,1.5196510629447586,1.5352578676727344,1.5601729334927785,1.5340493219831457,1.5748477471771203
2006-08-01,1.7706252090627854,1.4676186452202185,1.4854183008372948,1.5135888286432009,1.483525504190121,1.519303279981103
2006-09-01,1.7554481889629583,1.4099272276419517,1.4305733087130514,1.46368049810157,1.4289098741822064,1.4545267956962153
2006-10-01,1.8185981027285927,1.3492288912654133,1.3731770610888552,1.4111921989676544,1.3713821205630026,1.3899776334321021
2006-11-01,1.8282428856676507,1.2920965720722082,1.3191720139775676,1.3608625707990116,1.3170501091465447,1.3343750043644342
2006-12-01,1.8673500533420244,1.2382023312658506,1.268711959476591,1.3129320974126357,1.2661577040711023,1.2859871596362409
2007-01-01,1.887048046638922,1.1921844189645407,1.2246607472658388,1.2714163492215504,1.2224362961360358,1.2414125761292567
2007-02-01,1.8309961857465993,1.1474978814361942,1.1817106376159046,1.2323891810764178,1.1799405412039714,1.1960683410485151
2007-03-01,1.8351603616023022,1.1041662823259577,1.1403920464315727,1.1952364372689552,1.1390430711233321,1.1510245444198581
2007-04-01,1.9523129507362404,1.0577065724484904,1.0975301042265082,1.1564700700041168,1.0961077388533866,1.1084269622767822
2007-05-01,1.8618676492747306,1.0060131447920633,1.0498627039520305,1.1136011860586237,1.048719905625417,1.0623562529870199
2007-06-01,1.8429830524287705,0.9444453224066498,0.9941990439486633,1.0644169596268263,0.993603719294789,1.00485949382725
2007-07-01,1.8174529731149447,0.8785472249642058,0.9330299203231746,1.0108103395989672,0.9324742696204535,0.9435931317369571
2007-08-01,1.9230115527871388,0.8136482927553839,0.8735973561668396,0.9587102084044047,0.8725505228960836,0.8858229364489544
2007-09-01,1.8459447695705051,0.7425508464189832,0.8074639321951298,0.9006125176452614,0.8049518772854269,0.8278227878393752
2007-10-01,1.764422539111388,0.6635549409139203,0.7346702743118346,0.8355261431747348,0.7311516111174101,0.7647890579879509
2007-11-01,1.7223956256167006,0.5622278475514969,0.6406645909434903,0.7507544036935415,0.6358592685161758,0.6821915226495421
2007-12-01,1.698673987103747,0.4433313010347241,0.5299472496471448,0.6533954952294243,0.5239841942860489,0.584057398075692
2008-01-01,1.6881331875137087,0.2916805645238349,0.38779520591742817,0.5284610797860958,0.381418522412392,0.45172717957348896
2008-02-01,1.8112195716522566,0.09125821732870776,0.20264650263535655,0.368794567362487,0.1970406739436065,0.2755337767868758
2008-03-01,1.8683811881771422,-0.1588156410302941,-0.026800854742775843,0.16977217064363676,-0.03134151263121837,0.054255136024529534
2008-04-01,1.8599508283458446,-0.47892825467879163,-0.31784223994463223,-0.0781042305753394,-0.32246897566867405,-0.21830179846337788
2008-05-01,1.7775089298137003,-0.8411461444022387,-0.649398486909822,-0.3601635071966165,-0.6573785241840396,-0.5292164221034311
2008-06-01,1.7173730159303255,-1.2599813362664507,-1.0439101948873464,-0.7019250477103438,-1.0559862543228715,-0.8871231174030973
2008-07-01,1.7334780891403245,-1.7053402521166718,-1.4790406065756654,-1.099268274915427,-1.4943705130553628,-1.2805430658803771
2008-08-01,1.6708389626487656,-2.124607930117521,-1.9278809035294666,-1.5504294507080003,-1.942889491783531,-1.7198702274965072
2008-09-01,1.7453054353248203,-2.4049253561455335,-2.2654090163350897,-1.9562346623104356,-2.2768359473961577,-2.0998464873708476
2008-10-01,1.894893483558878,-2.5319588675684153,-2.458392110899428,-2.257128141687035,-2.465080881533763,-2.3831160853469155
